"","date","total_cases","active_cases"
"1",2020-03-05,1,0
"2",2020-03-07,2,0
"3",2020-03-08,3,0
"4",2020-03-09,7,0
"5",2020-03-11,13,0
"6",2020-03-12,16,0
"7",2020-03-13,24,0
"8",2020-03-14,38,0
"9",2020-03-15,51,0
"10",2020-03-16,62,0
"11",2020-03-17,85,0
"12",2020-03-18,116,0
"13",2020-03-19,150,0
"14",2020-03-20,202,0
"15",2020-03-21,240,0
"16",2020-03-22,274,0
"17",2020-03-23,402,0
"18",2020-03-24,554,0
"19",2020-03-25,709,0
"20",2020-03-26,927,0
"21",2020-03-27,1170,0
"22",2020-03-28,1187,0
"23",2020-03-29,1280,0
"24",2020-03-30,1326,0
"25",2020-03-31,1353,0
"26",2020-04-01,1380,0
"27",2020-04-02,1462,0
"28",2020-04-03,1505,0
"29",2020-04-04,1585,0
"30",2020-04-05,1655,0
"31",2020-04-06,1686,0
"32",2020-04-07,1749,0
"33",2020-04-08,1845,0
"34",2020-04-09,1934,0
"35",2020-04-10,2003,0
"36",2020-04-11,2028,0
"37",2020-04-12,2173,0
"38",2020-04-13,2272,0
"39",2020-04-14,2415,0
"40",2020-04-15,2506,0
"41",2020-04-16,2605,0
"42",2020-04-17,2783,1830
"43",2020-04-18,3034,2079
"44",2020-04-19,3158,2201
"45",2020-04-20,3300,2187
"46",2020-04-21,3465,2352
"47",2020-04-22,3635,2515
"48",2020-04-23,3953,2405
"49",2020-04-24,4220,2668
"50",2020-04-25,4361,2802
"51",2020-04-26,4546,2986
"52",2020-04-27,4793,3230
"53",2020-04-28,4996,3430
"54",2020-04-29,5350,0
"55",2020-04-30,5647,0
"56",2020-05-01,5951,0
"57",2020-05-02,6336,3664
"58",2020-05-03,6783,4103
"59",2020-05-04,7220,4336
"60",2020-05-05,7572,4678
"61",2020-05-06,7808,4502
"62",2020-05-07,8232,4918
"63",2020-05-08,8895,5564
"64",2020-05-09,9420,0
"65",2020-05-10,10015,5648
"66",2020-05-11,10652,0
"67",2020-05-12,11350,0
"68",2020-05-13,12074,7110
"69",2020-05-14,12739,6825
"70",2020-05-15,13524,7194
"71",2020-05-16,14355,7616
"72",2020-05-17,15515,8245
"73",2020-05-18,16433,8849
"74",2020-05-19,17200,8928
"75",2020-05-20,18003,8714
"76",2020-05-21,19137,9818
"77",2020-05-22,20125,9624
"78",2020-05-23,21343,10832
"79",2020-05-24,22583,11054
"80",2020-05-25,23615,11217
"81",2020-05-26,24264,10999
"82",2020-05-27,25937,11934
"83",2020-05-28,27403,12456
"84",2020-05-29,29240,13536
"85",2020-05-30,30967,14208
"86",2020-05-31,32683,15191
"87",2020-06-01,34357,16361
"88",2020-06-02,35812,16744
"89",2020-06-03,37525,17051
"90",2020-06-04,40792,18633
"91",2020-06-05,43434,19438
"92",2020-06-06,45973,20763
"93",2020-06-07,48285,22923
"94",2020-06-08,50879,23700
"95",2020-06-09,52991,22823
"96",2020-06-10,55421,22706
"97",2020-06-11,58568,25779
"98",2020-06-12,61927,25565
"99",2020-06-13,65736,27463
"100",2020-06-14,70038,30027
"101",2020-06-15,73533,32098
