"","date","deaths","case_fatality_rate"
"1",2020-03-27,1,0.0854700854700855
"2",2020-03-28,2,0.16849199663016
"3",2020-03-30,3,0.226244343891403
"4",2020-03-31,5,0.369549150036955
"5",2020-04-03,9,0.598006644518272
"6",2020-04-05,11,0.664652567975831
"7",2020-04-06,12,0.711743772241993
"8",2020-04-07,13,0.743281875357347
"9",2020-04-08,18,0.975609756097561
"10",2020-04-09,18,0.93071354705274
"11",2020-04-10,24,1.19820269595607
"12",2020-04-11,25,1.232741617357
"13",2020-04-12,25,1.15048320294524
"14",2020-04-13,27,1.18838028169014
"15",2020-04-14,27,1.11801242236025
"16",2020-04-15,34,1.35674381484437
"17",2020-04-16,48,1.8426103646833
"18",2020-04-17,50,1.79662234998203
"19",2020-04-18,52,1.7139090309822
"20",2020-04-19,54,1.70994300189994
"21",2020-04-20,58,1.75757575757576
"22",2020-04-21,58,1.67388167388167
"23",2020-04-22,65,1.78817056396149
"24",2020-04-23,75,1.89729319504174
"25",2020-04-24,79,1.87203791469194
"26",2020-04-25,86,1.97202476496216
"27",2020-04-26,87,1.91377034755829
"28",2020-04-27,90,1.877738368454
"29",2020-04-28,93,1.86148919135308
"30",2020-04-29,103,1.92523364485981
"31",2020-04-30,103,1.82397733309722
"32",2020-05-01,116,1.94925222651655
"33",2020-05-02,123,1.94128787878788
"34",2020-05-03,131,1.9312988353236
"35",2020-05-04,138,1.91135734072022
"36",2020-05-05,148,1.95456946645536
"37",2020-05-06,153,1.95952868852459
"38",2020-05-07,161,1.95578231292517
"39",2020-05-08,178,2.00112422709387
"40",2020-05-09,186,1.97452229299363
"41",2020-05-10,194,1.93709435846231
"42",2020-05-11,206,1.93390912504694
"43",2020-05-12,206,1.81497797356828
"44",2020-05-13,219,1.81381480867981
"45",2020-05-14,238,1.86827851479708
"46",2020-05-15,247,1.82638272700385
"47",2020-05-16,261,1.81818181818182
"48",2020-05-17,264,1.70157911698356
"49",2020-05-18,286,1.7404004138015
"50",2020-05-19,312,1.81395348837209
"51",2020-05-20,339,1.88301949675054
"52",2020-05-21,369,1.92820191252547
"53",2020-05-22,397,1.97267080745342
"54",2020-05-23,407,1.90694841399991
"55",2020-05-24,429,1.89965903555772
"56",2020-05-25,481,2.03684099089562
"57",2020-05-26,524,2.15957797560171
"58",2020-05-27,552,2.12823379727802
"59",2020-05-28,577,2.1056088749407
"60",2020-05-29,611,2.08960328317373
"61",2020-05-30,643,2.07640391384377
"62",2020-05-31,683,2.08977144081021
"63",2020-06-01,705,2.05198358413133
"64",2020-06-02,755,2.10823187758293
"65",2020-06-03,792,2.11059293804131
"66",2020-06-04,848,2.07883898803687
"67",2020-06-05,908,2.0905281576645
"68",2020-06-06,952,2.07078067561395
"69",2020-06-07,998,2.06689448068758
"70",2020-06-08,1080,2.12268322883704
"71",2020-06-09,1162,2.19282519673152
"72",2020-06-10,1210,2.18328792335035
"73",2020-06-11,1284,2.19232345308018
"74",2020-06-12,1354,2.18644533079271
"75",2020-06-13,1423,2.16471948399659
"76",2020-06-14,1480,2.11313858191268
"77",2020-06-15,1568,2.13237594005413
"78",2020-06-16,1625,2.12880236853827
