Province,Age,Total
Eastern Cape,0–4,724979
NA,5–9,761380
NA,10–14,744889
NA,15–19,590967
NA,20–24,499509
NA,25–29,521391
NA,30–34,513360
NA,35–39,427873
NA,40–44,342369
NA,45–49,304590
NA,50–54,267466
NA,55–59,251747
NA,60–64,223865
NA,65–69,176518
NA,70–74,128350
NA,75–79,100470
NA,80+,132555
Total Eastern Cape,NA,6712276
Free State,0–4,269566
NA,5–9,285218
NA,10–14,281338
NA,15–19,242030
NA,20–24,235788
NA,25–29,253059
NA,30–34,256796
NA,35–39,214099
NA,40–44,170772
NA,45–49,151616
NA,50–54,131151
NA,55–59,113709
NA,60–64,94905
NA,65–69,75093
NA,70–74,51235
NA,75–79,32162
NA,80+,28929
Total Free State,NA,2887465
Gauteng,0–4,1278086
NA,5–9,1235127
NA,10–14,1115251
NA,15–19,1027773
NA,20–24,1335604
NA,25–29,1657254
NA,30–34,1674390
NA,35–39,1357901
NA,40–44,1057834
NA,45–49,871036
NA,50–54,702640
NA,55–59,593312
NA,60–64,474169
NA,65–69,349051
NA,70–74,230171
NA,75–79,126533
NA,80+,89983
Total Gauteng,NA,15176116
Mpumalanga,0–4,466635
NA,5–9,465802
NA,10–14,449730
NA,15–19,386635
NA,20–24,394503
NA,25–29,431325
NA,30–34,438085
NA,35–39,361374
NA,40–44,275265
NA,45–49,227421
NA,50–54,185125
NA,55–59,153537
NA,60–64,119252
NA,65–69,92193
NA,70–74,59706
NA,75–79,38606
NA,80+,46992
Total Mpumalanga,NA,4592187
KwaZulu-Natal,0–4,1231101
NA,5–9,1196909
NA,10–14,1136163
NA,15–19,980573
NA,20–24,1006031
NA,25–29,1061072
NA,30–34,1008574
NA,35–39,805406
NA,40–44,613052
NA,45–49,517033
NA,50–54,423932
NA,55–59,376538
NA,60–64,306529
NA,65–69,244864
NA,70–74,178784
NA,75–79,106104
NA,80+,96422
Total KwaZulu-Natal,NA,11289086
Limpopo,0–4,671145
NA,5–9,685489
NA,10–14,638214
NA,15–19,521671
NA,20–24,491304
NA,25–29,506465
NA,30–34,494715
NA,35–39,414464
NA,40–44,330869
NA,45–49,275088
NA,50–54,225989
NA,55–59,195379
NA,60–64,160280
NA,65–69,130583
NA,70–74,90848
NA,75–79,61883
NA,80+,88198
Total Limpopo,NA,5982584
Northern Cape,0–4,124890
NA,5–9,121544
NA,10–14,120192
NA,15–19,103167
NA,20–24,97278
NA,25–29,107688
NA,30–34,113762
NA,35–39,97171
NA,40–44,76718
NA,45–49,66928
NA,50–54,56856
NA,55–59,48509
NA,60–64,41286
NA,65–69,32858
NA,70–74,23144
NA,75–79,15439
NA,80+,16446
Total Northern Cape,NA,1263875
North West,0–4,400609
NA,5–9,405590
NA,10–14,389264
NA,15–19,317228
NA,20–24,309145
NA,25–29,353859
NA,30–34,371120
NA,35–39,317638
NA,40–44,255934
NA,45–49,217130
NA,50–54,180725
NA,55–59,155471
NA,60–64,124075
NA,65–69,89517
NA,70–74,60462
NA,75–79,40499
NA,80+,38895
Total North West,NA,4027160
Western Cape,0–4,566934
NA,5–9,580381
NA,10–14,552862
NA,15–19,489956
NA,20–24,545024
NA,25–29,636458
NA,30–34,667162
NA,35–39,575249
NA,40–44,462595
NA,45–49,414775
NA,50–54,361166
NA,55–59,304311
NA,60–64,240114
NA,65–69,179444
NA,70–74,127114
NA,75–79,76179
NA,80+,64550
Total Western Cape,NA,6844272
All Provinces,0–4,5733946
NA,5–9,5737439
NA,10–14,5427902
NA,15–19,4660002
NA,20–24,4914186
NA,25–29,5528571
NA,30–34,5537963
NA,35–39,4571175
NA,40–44,3585408
NA,45–49,3045617
NA,50–54,2535048
NA,55–59,2192512
NA,60–64,1784476
NA,65–69,1370121
NA,70–74,949812
NA,75–79,597874
NA,80+,602969
Total All Provinces,NA,58775022
